Timestamp,Temp_C,Poli_bar,Vbat_V,Brake,Dplus,RPM,Speed_kmh,Odo_km,PTrans_bar,TTrans_C,Cnt_Empty,Cnt_Loaded,HourMeter,Uptime_s,Alarm_Temp,Alarm_Poli,Alarm_Vbat
2026-05-18 10:40:28,0,0,0,0,0,0,0,0,0,0,0,0,7.5,181,0,1,1
2026-05-18 10:40:41,0,0,0,0,0,0,0,0,0,0,0,0,7.6,194,0,1,1
2026-05-18 10:40:52,0,0,0,0,0,0,0,0,0,0,0,0,7.6,206,0,1,1
2026-05-18 10:41:05,0,0,0,0,0,0,0,0,0,0,0,0,7.6,218,0,1,1
2026-05-18 10:41:16,0,0,0,0,0,0,0,0,0,0,0,0,7.6,230,0,1,1
2026-05-18 15:01:49,0,0,0,0,0,0,0,0,0,0,0,0,8.6,8,0,1,1
2026-05-18 15:02:00,0,0,0,0,0,0,0,0,0,0,0,0,8.6,19,0,1,1
2026-05-18 15:02:12,0,0,0,0,0,0,0,0,0,0,0,0,8.6,31,0,1,1
2026-05-18 15:02:23,0,0,0,0,0,0,0,0,0,0,0,0,8.6,42,0,1,1
2026-05-18 15:02:28,0,0,0,0,0,0,0,0,0,0,0,0,8.6,47,0,1,1
2026-05-18 15:02:38,0,0,0,0,0,0,0,0,0,0,0,0,8.6,57,0,1,1
2026-05-18 15:02:54,0,0,0,0,0,0,0,0,0,0,0,0,8.6,69,0,1,1
2026-05-18 15:03:07,0,0,0,0,0,0,0,0,0,0,0,0,8.6,85,0,1,1
2026-05-18 15:03:18,0,0,0,0,0,0,0,0,0,0,0,0,8.6,97,0,1,1
2026-05-18 15:03:29,0,0,0,0,0,0,0,0,0,0,0,0,8.6,108,0,1,1
2026-05-18 15:03:39,0,0,0,0,0,0,0,0,0,0,0,0,8.6,119,0,1,1
2026-05-18 15:03:50,0,0,0,0,0,0,0,0,0,0,0,0,8.6,129,0,1,1
2026-05-18 15:04:03,0,0,0,0,0,0,0,0,0,0,0,0,8.6,140,0,1,1
2026-05-18 15:04:15,0,0,0,0,0,0,0,0,0,0,0,0,8.6,154,0,1,1
2026-05-18 15:04:26,0,0,0,0,0,0,0,0,0,0,0,0,8.6,165,0,1,1
2026-05-18 15:04:37,0,0,0,0,0,0,0,0,0,0,0,0,8.6,176,0,1,1
2026-05-18 15:04:42,0,0,0,0,0,0,0,0,0,0,0,0,8.6,181,0,1,1
2026-05-18 15:04:52,0,0,0,0,0,0,0,0,0,0,0,0,8.6,191,0,1,1
2026-05-18 15:05:10,0,0,0,0,0,0,0,0,0,0,0,0,8.6,9,0,1,1
2026-05-18 15:05:16,0,0,0,0,0,0,0,0,0,0,0,0,8.6,16,0,1,1
2026-05-18 15:05:27,0,0,0,0,0,0,0,0,0,0,0,0,8.6,27,0,1,1
2026-05-18 15:05:55,0,0,0,0,0,0,0,0,0,0,0,0,8.6,6,0,1,1
2026-05-18 15:06:07,0,0,0,0,0,0,0,0,0,0,0,0,8.7,17,0,1,1
2026-05-18 15:06:21,0,0,0,0,0,0,0,0,0,0,0,0,8.7,32,0,1,1
2026-05-18 15:06:32,0,0,0,0,0,0,0,0,0,0,0,0,8.7,42,0,1,1
2026-05-18 15:06:44,0,0,0,0,0,0,0,0,0,0,0,0,8.7,55,0,1,1
2026-05-18 15:06:54,0,0,0,0,0,0,0,0,0,0,0,0,8.7,65,0,1,1
2026-05-18 15:07:05,0,0,0,0,0,0,0,0,0,0,0,0,8.7,76,0,1,1
2026-05-18 15:07:17,0,0,0,0,0,0,0,0,0,0,0,0,8.7,89,0,1,1
2026-05-18 15:07:27,0,0,0,0,0,0,0,0,0,0,0,0,8.7,99,0,1,1
2026-05-18 15:07:39,0,0,0,0,0,0,0,0,0,0,0,0,8.7,110,0,1,1
2026-05-18 15:07:50,0,0,0,0,0,0,0,0,0,0,0,0,8.7,121,0,1,1
2026-05-18 15:08:01,0,0,0,0,0,0,0,0,0,0,0,0,8.7,132,0,1,1
2026-05-18 15:08:12,0,0,0,0,0,0,0,0,0,0,0,0,8.7,143,0,1,1
2026-05-18 15:08:26,0,0,0,0,0,0,0,0,0,0,0,0,8.7,157,0,1,1
2026-05-18 15:08:40,0,0,0,0,0,0,0,0,0,0,0,0,8.7,171,0,1,1
2026-05-18 15:08:51,0,0,0,0,0,0,0,0,0,0,0,0,8.7,182,0,1,1
2026-05-18 15:08:56,0,0,0,0,0,0,0,0,0,0,0,0,8.7,187,0,1,1
2026-05-18 15:09:06,0,0,0,0,0,0,0,0,0,0,0,0,8.7,198,0,1,1
2026-05-18 15:09:20,0,0,0,0,0,0,0,0,0,0,0,0,8.7,9,0,1,1
2026-05-18 15:09:31,0,0,0,0,0,0,0,0,0,0,0,0,8.7,20,0,1,1
2026-05-18 15:09:42,0,0,0,0,0,0,0,0,0,0,0,0,8.7,31,0,1,1
2026-05-18 15:09:53,0,0,0,0,0,0,0,0,0,0,0,0,8.7,42,0,1,1
2026-05-18 15:10:03,0,0,0,0,0,0,0,0,0,0,0,0,8.7,52,0,1,1
2026-05-18 15:10:13,0,0,0,0,0,0,0,0,0,0,0,0,8.7,62,0,1,1
